callsign,origin,destination,eobt,flight_date,aircraft_type
HVN5223,VVTS,VVPK,02:40,2025-06-23,A350
AIC5894,VVTS,VVNB,02:59,2025-06-23,B777
AIC3727,VIDP,VVTS,02:31,2025-06-23,A380
CPA8253,VVDN,VVTS,02:23,2025-06-23,A321
THA9736,WSSS,VVTS,02:27,2025-06-23,B737
BAV4699,VVTS,ZSPD,03:30,2025-06-23,B737
AIC4474,OMDB,VVTS,03:45,2025-06-23,B777
ANA6864,VVTS,OMDB,03:24,2025-06-23,A321
VJC7530,VVTS,VVBM,03:12,2025-06-23,A320
CSN8808,VVTS,ZSPD,03:28,2025-06-23,A320
AXM3971,WMKK,VVTS,03:42,2025-06-23,B777
SCO5544,VVTS,VVPC,03:22,2025-06-23,B737
SIA247,VVPK,VVTS,03:57,2025-06-23,B737
UAE1117,VVPC,VVTS,03:31,2025-06-23,B737
CSN9974,VVTS,VVCS,03:53,2025-06-23,B737
CAL2552,VVTS,VVPF,03:37,2025-06-23,A350
KAL5124,VVTS,VVCA,03:19,2025-06-23,B777
DAL5564,VVKR,VVTS,03:18,2025-06-23,A320
PIC5439,WSSS,VVTS,03:20,2025-06-23,A320
AIC7284,VVTS,VVKR,03:42,2025-06-23,B737
BAW2686,VVTS,VLPL,03:43,2025-06-23,A320
UAE9468,VVTS,VLPL,03:20,2025-06-23,B777
SIA873,VVTS,RKSI,03:16,2025-06-23,A320
BAV6359,VVTS,VVKR,03:11,2025-06-23,A350
DAL4369,VIDP,VVTS,03:39,2025-06-23,A380
ANA4091,VVTS,VVCS,03:46,2025-06-23,A320
ANA9765,RCTP,VVTS,03:29,2025-06-23,A330
KAL2560,VVTS,VHHH,04:04,2025-06-23,A320
VJC9058,VVTS,VVCA,04:50,2025-06-23,B787
BAV6415,VVTS,VVPB,04:24,2025-06-23,B777
PAL5287,VVCS,VVTS,04:49,2025-06-23,A330
PIC4065,EGLL,VVTS,04:06,2025-06-23,A320
DAL9681,RCTP,VVTS,04:50,2025-06-23,A380
KAL7392,VVTS,EGLL,04:26,2025-06-23,B777
UAE6633,VVTS,VVPC,04:05,2025-06-23,A321
DAL7224,VVPF,VVTS,04:16,2025-06-23,B737
PAL2730,VVTS,VVKR,04:41,2025-06-23,A320
UAE6193,ZSPD,VVTS,04:29,2025-06-23,A350
THA894,VHHH,VVTS,04:15,2025-06-23,A320
BAV8227,VTBS,VVTS,04:50,2025-06-23,B777
PAL5680,VVTS,VIDP,04:45,2025-06-23,A321
UAE9657,VVTS,VTBS,04:09,2025-06-23,A320
CES131,KJFK,VVTS,04:25,2025-06-23,A321
CPA2827,VVPK,VVTS,04:50,2025-06-23,A350
PIC9484,RJAA,VVTS,05:53,2025-06-23,A320
SIA7246,WMKK,VVTS,05:42,2025-06-23,A320
SCO5249,VVTS,RCTP,05:16,2025-06-23,B737
KAL1628,VVKR,VVTS,05:29,2025-06-23,B737
VJC5337,VVCT,VVTS,05:03,2025-06-23,A330
CAL7163,VVTS,OMDB,05:21,2025-06-23,B777
AXM487,VLPL,VVTS,05:21,2025-06-23,A350
KAL1697,VVPB,VVTS,05:45,2025-06-23,A350
UAE2336,VMMC,VVTS,05:54,2025-06-23,A380
CPA6696,VVDN,VVTS,05:16,2025-06-23,A350
VJC1040,VVTS,VVPB,05:47,2025-06-23,B777
AIC9696,VVDL,VVTS,05:00,2025-06-23,B737
SCO1595,VVCA,VVTS,06:23,2025-06-23,B737
CSN2261,VVTS,VVCS,06:06,2025-06-23,B787
THA7386,VVCA,VVTS,06:59,2025-06-23,A380
UAE2677,VVTS,KJFK,06:22,2025-06-23,A330
DAL8602,RKSI,VVTS,06:16,2025-06-23,A330
THD9057,VVTS,VVTH,06:52,2025-06-23,B787
HVN6180,VMMC,VVTS,06:37,2025-06-23,A321
UAE3775,VVTS,VVCI,06:53,2025-06-23,A320
AXM8252,VVTS,VVDL,06:41,2025-06-23,A330
CAL7113,VVTS,OMDB,06:01,2025-06-23,A380
CAL5187,VVTS,VVKR,06:53,2025-06-23,A380
BAW9129,VIDP,VVTS,06:26,2025-06-23,B777
DAL4603,KJFK,VVTS,06:21,2025-06-23,A350
AIC7652,VVTS,VVKR,06:27,2025-06-23,A320
UAE8525,VVCS,VVTS,06:48,2025-06-23,A350
BAV8654,VVKR,VVTS,06:46,2025-06-23,B787
CPA7153,VVTS,VVCS,06:46,2025-06-23,A320
SCO461,VVCA,VVTS,06:07,2025-06-23,A350
THA960,RCTP,VVTS,06:02,2025-06-23,A350
DAL5566,OMDB,VVTS,06:33,2025-06-23,B737
CES7452,RCTP,VVTS,06:35,2025-06-23,A321
SCO6059,VVKR,VVTS,06:17,2025-06-23,A350
PIC330,VVPC,VVTS,06:24,2025-06-23,A320
SCO1421,RKSI,VVTS,06:42,2025-06-23,A321
ANA3161,VVPB,VVTS,06:55,2025-06-23,A350
KAL7276,VVPF,VVTS,06:08,2025-06-23,A320
PAL2187,VVTS,OMDB,06:25,2025-06-23,A330
BAV3709,VVTS,VVPK,06:44,2025-06-23,A330
SCO9897,VVDL,VVTS,06:01,2025-06-23,B777
BAW2124,VVPB,VVTS,06:42,2025-06-23,A350
BAW1959,VVTS,VVCT,06:34,2025-06-23,A380
THD1573,VVTS,RCTP,06:56,2025-06-23,B737
DAL1974,VVPK,VVTS,06:54,2025-06-23,A380
PAL5534,VVTS,VVCA,06:44,2025-06-23,A321
HVN1961,VVTS,VLPL,06:19,2025-06-23,A380
BAV2124,VVTS,VVCT,06:11,2025-06-23,A320
DAL3528,OMDB,VVTS,06:54,2025-06-23,B787
PAL2076,VVTS,VHHH,06:47,2025-06-23,A330
SCO3711,ZSPD,VVTS,06:06,2025-06-23,A320
PIC8932,VVCS,VVTS,06:13,2025-06-23,B787
THD6459,VVTS,VVPC,06:12,2025-06-23,A380
CPA471,VVTS,RKSI,06:59,2025-06-23,A321
AXM7525,VMMC,VVTS,06:17,2025-06-23,A321
BAV1137,OMDB,VVTS,06:22,2025-06-23,B787
SIA6962,VVTS,VVPF,06:16,2025-06-23,B777
SCO3790,VVTS,VTBS,06:31,2025-06-23,A320
VJC2928,VVTS,OMDB,06:49,2025-06-23,B787
UAE3599,VVTS,VVCA,06:42,2025-06-23,B777
BAV6591,VVTS,VVPK,06:46,2025-06-23,B777
AXM9071,VVTS,WSSS,06:56,2025-06-23,B777
CAL2311,VVTS,ZSPD,06:48,2025-06-23,B787
BAV5665,VVTS,WMKK,06:54,2025-06-23,A320
PAL5735,VVTS,OMDB,06:00,2025-06-23,A330
ANA9012,VVTS,RCTP,06:06,2025-06-23,A320
SIA7971,VVNB,VVTS,06:54,2025-06-23,A321
CES9312,VVPB,VVTS,06:23,2025-06-23,B737
AXM8761,VVTS,VVPF,07:00,2025-06-23,A350
BAV6539,VVPB,VVTS,07:34,2025-06-23,B777
THA6374,VVTS,RJAA,07:22,2025-06-23,A320
BAV3063,VVTS,WSSS,07:13,2025-06-23,A380
BAW8743,VVKR,VVTS,07:26,2025-06-23,A321
VJC1799,VVTS,VVPK,07:01,2025-06-23,B737
CSN9632,VVTS,VVCA,07:44,2025-06-23,B777
THA9648,VVPF,VVTS,07:50,2025-06-23,B787
THD1576,VVNB,VVTS,07:47,2025-06-23,A321
CPA3144,VVTS,VLPL,07:51,2025-06-23,B737
SCO932,VVTS,VVPK,07:27,2025-06-23,A330
SIA3136,VVKR,VVTS,07:33,2025-06-23,B737
CSN6137,VVTS,OMDB,07:25,2025-06-23,A380
AIC1996,VVTS,VVPK,07:31,2025-06-23,A330
ANA2908,VVTS,ZGGG,07:57,2025-06-23,B777
AXM4948,VVTS,VMMC,07:50,2025-06-23,B777
SCO7973,VVTS,VVPB,07:27,2025-06-23,B737
SCO3268,ZSPD,VVTS,07:46,2025-06-23,A330
THD7177,VVPB,VVTS,07:44,2025-06-23,B787
ANA9505,VVTS,KJFK,07:38,2025-06-23,A320
AXM8817,VVTS,ZSPD,07:21,2025-06-23,A330
KAL1264,EGLL,VVTS,07:02,2025-06-23,B787
VJC9196,WSSS,VVTS,07:13,2025-06-23,A330
UAE952,ZSPD,VVTS,07:54,2025-06-23,B777
ANA7683,VVTS,WSSS,07:57,2025-06-23,A320
ANA9186,VVTS,VIDP,07:48,2025-06-23,B737
CPA9120,VVTH,VVTS,07:38,2025-06-23,A330
CES1667,VLPL,VVTS,07:33,2025-06-23,A320
BAW8713,EGLL,VVTS,07:34,2025-06-23,A321
CPA6184,VVPF,VVTS,07:08,2025-06-23,A321
BAV9206,VVDL,VVTS,07:30,2025-06-23,A320
HVN1220,VVTS,WSSS,07:00,2025-06-23,A330
ANA8972,VVTH,VVTS,07:45,2025-06-23,A350
THA975,VVTS,VVGL,07:32,2025-06-23,A330
DAL3643,VVPK,VVTS,07:31,2025-06-23,B777
CPA3015,WMKK,VVTS,07:22,2025-06-23,B737
CES1489,VMMC,VVTS,07:50,2025-06-23,A330
CAL3494,VVCT,VVTS,07:47,2025-06-23,A380
THD832,VVTS,VIDP,07:38,2025-06-23,A330
PAL4484,VVPB,VVTS,07:33,2025-06-23,A380
CAL5488,VVTS,VVNB,07:33,2025-06-23,A321
HVN3559,VVPB,VVTS,07:05,2025-06-23,A320
UAE8029,VVCT,VVTS,07:53,2025-06-23,A320
THA7522,VVTS,RKSI,07:51,2025-06-23,A330
HVN2134,ZGGG,VVTS,07:52,2025-06-23,A321
AIC3796,VVTH,VVTS,07:08,2025-06-23,A380
VJC4973,VVTH,VVTS,07:09,2025-06-23,B737
THD9123,VVTS,ZSPD,07:55,2025-06-23,A330
UAE958,VVTS,RKSI,07:26,2025-06-23,B737
KAL4804,VVPF,VVTS,07:47,2025-06-23,A380
SCO7294,VVTS,VVDN,07:20,2025-06-23,A330
DAL558,VIDP,VVTS,07:50,2025-06-23,A380
HVN4860,VVTS,VVCT,07:54,2025-06-23,A321
HVN2653,VVTS,KJFK,07:49,2025-06-23,A321
AXM3557,VVTS,VVPC,08:48,2025-06-23,B737
BAV8623,VLPL,VVTS,08:25,2025-06-23,A320
CSN9092,VVTS,VVPF,08:15,2025-06-23,A321
KAL9992,WSSS,VVTS,08:47,2025-06-23,A320
PIC358,VTBS,VVTS,08:54,2025-06-23,B777
CSN6124,VVPK,VVTS,08:33,2025-06-23,A330
CES7868,VVTS,VVCI,08:44,2025-06-23,B777
PIC9010,VVTS,VVPB,08:59,2025-06-23,A380
ANA7438,VVTS,VMMC,08:47,2025-06-23,A380
HVN949,VVDN,VVTS,08:45,2025-06-23,B737
SCO1158,VVDL,VVTS,08:38,2025-06-23,B737
DAL9476,VIDP,VVTS,08:21,2025-06-23,B777
BAW3237,VVTS,VVCT,08:29,2025-06-23,B787
DAL2479,VVTS,KJFK,08:49,2025-06-23,B737
PIC3733,VVTS,WMKK,08:54,2025-06-23,A330
CES7039,VVTS,VVPC,08:35,2025-06-23,A350
PAL1803,VVDL,VVTS,08:25,2025-06-23,B787
CPA8191,RPLL,VVTS,08:37,2025-06-23,B787
BAV7118,VVNB,VVTS,08:29,2025-06-23,B737
AXM4238,VVCI,VVTS,08:02,2025-06-23,A350
HVN1511,RPLL,VVTS,08:36,2025-06-23,A320
BAV8862,VVTS,VVTH,08:35,2025-06-23,A321
BAW3777,VMMC,VVTS,08:20,2025-06-23,A321
UAE1530,VVCS,VVTS,08:58,2025-06-23,A321
CES8841,VVPC,VVTS,08:56,2025-06-23,A330
SIA1697,VVTS,WMKK,08:01,2025-06-23,A330
ANA2704,RCTP,VVTS,08:06,2025-06-23,B737
SCO176,VVCS,VVTS,09:42,2025-06-23,B787
SIA490,VVBM,VVTS,09:27,2025-06-23,A320
KAL2997,ZGGG,VVTS,09:33,2025-06-23,A321
CAL5869,VVCA,VVTS,09:24,2025-06-23,A321
KAL6845,VVTS,VVCA,09:37,2025-06-23,B737
PAL7583,VIDP,VVTS,09:20,2025-06-23,A321
PAL1802,VVTS,VVBM,09:59,2025-06-23,B777
CAL4985,VVTS,VVDL,09:36,2025-06-23,A321
PAL7507,VVTS,VVDN,09:18,2025-06-23,B787
CES5967,VVTS,ZSPD,09:45,2025-06-23,A330
BAV8020,VVTS,VVGL,09:33,2025-06-23,A330
CPA933,VVTS,VIDP,09:36,2025-06-23,B777
BAW1534,VVTS,RKSI,09:42,2025-06-23,B777
SIA3013,VVBM,VVTS,09:02,2025-06-23,B787
AIC4311,RJAA,VVTS,09:04,2025-06-23,A350
BAW3216,VVPC,VVTS,09:12,2025-06-23,B777
AIC5374,VVPC,VVTS,09:39,2025-06-23,A320
PIC6741,VVTS,VIDP,09:58,2025-06-23,A350
AIC8778,RJAA,VVTS,09:34,2025-06-23,A380
PAL1700,VVCT,VVTS,09:41,2025-06-23,B737
BAV600,VVDN,VVTS,09:45,2025-06-23,B777
ANA3482,VVCA,VVTS,09:35,2025-06-23,B777
SIA6949,VVTS,VVCS,09:00,2025-06-23,B787
BAW5373,VVTS,RJAA,09:32,2025-06-23,A330
PAL8635,VVBM,VVTS,09:07,2025-06-23,A350
PAL4102,RJAA,VVTS,09:44,2025-06-23,B787
SCO3022,OMDB,VVTS,09:28,2025-06-23,A320
BAW6751,VVTS,WSSS,09:15,2025-06-23,A320
SCO4467,VVTS,VVDN,09:35,2025-06-23,B777
THD2096,VVPB,VVTS,09:17,2025-06-23,B737
UAE3550,VVTS,RJAA,09:14,2025-06-23,B787
CPA7932,KJFK,VVTS,09:43,2025-06-23,A350
THA8073,VVCA,VVTS,09:52,2025-06-23,A380
PIC7820,RCTP,VVTS,09:49,2025-06-23,B787
VJC4197,VVTS,VVDN,09:06,2025-06-23,B787
CAL1713,VMMC,VVTS,09:42,2025-06-23,A350
SIA238,VVTS,VVCA,09:40,2025-06-23,A350
AIC6497,VVTS,VLPL,09:21,2025-06-23,B777
BAW3531,RPLL,VVTS,09:35,2025-06-23,A321
CAL2646,VVTS,VVTH,09:06,2025-06-23,A320
HVN457,VTBS,VVTS,09:42,2025-06-23,A330
CES8606,VVTS,RPLL,09:22,2025-06-23,B777
DAL5563,VVTS,VVGL,09:43,2025-06-23,A350
DAL1449,VVCI,VVTS,09:21,2025-06-23,A350
CSN3271,VVTS,KJFK,09:55,2025-06-23,A350
THA820,VVTS,KJFK,09:03,2025-06-23,B787
THD306,VLPL,VVTS,09:58,2025-06-23,A350
PIC8783,VVTS,EGLL,09:14,2025-06-23,A380
BAW5431,VVPC,VVTS,09:36,2025-06-23,A350
SCO5530,VVTS,VVPF,09:58,2025-06-23,B737
CPA7091,RJAA,VVTS,09:22,2025-06-23,B787
CES5111,VVTS,VVCT,09:05,2025-06-23,B787
AIC2740,VVTS,OMDB,10:25,2025-06-23,B777
PAL6287,VVPC,VVTS,10:40,2025-06-23,A330
BAW9746,VVDN,VVTS,10:08,2025-06-23,A380
PIC4828,VLPL,VVTS,10:48,2025-06-23,A330
SCO796,RJAA,VVTS,10:55,2025-06-23,A330
CSN7546,VVTS,VVPF,10:05,2025-06-23,B777
CPA5848,VVTS,RPLL,10:47,2025-06-23,B737
CPA7875,VVTS,EGLL,10:50,2025-06-23,B787
DAL5172,WMKK,VVTS,10:33,2025-06-23,B787
PAL4780,VVPB,VVTS,10:22,2025-06-23,B777
CSN506,VVTS,VTBS,11:14,2025-06-23,A350
ANA7319,RPLL,VVTS,11:33,2025-06-23,A330
SCO6087,VVTS,VVPC,11:11,2025-06-23,A320
CSN3954,VVTS,WMKK,11:28,2025-06-23,B777
THD6225,RKSI,VVTS,11:26,2025-06-23,A330
BAW8137,VVCS,VVTS,11:58,2025-06-23,A320
CSN5196,VVTS,VVCS,11:05,2025-06-23,A321
CSN2063,VVPF,VVTS,11:05,2025-06-23,A321
CES183,VVTS,VVCS,11:41,2025-06-23,A330
PIC6791,OMDB,VVTS,11:04,2025-06-23,B737
THD5546,VVTS,VVGL,11:45,2025-06-23,B787
DAL5455,VVBM,VVTS,11:37,2025-06-23,A320
BAV8247,VVTS,VHHH,11:53,2025-06-23,B777
ANA790,VVTS,VVNB,11:02,2025-06-23,B777
CPA7113,VVTS,VLPL,11:41,2025-06-23,A330
THD4534,VVPK,VVTS,11:59,2025-06-23,B737
THD918,VVCA,VVTS,11:22,2025-06-23,B737
AIC4069,VVPF,VVTS,11:23,2025-06-23,B737
CPA4619,VVNB,VVTS,11:44,2025-06-23,B777
CPA7164,VIDP,VVTS,11:06,2025-06-23,A350
BAW6689,VVDN,VVTS,11:18,2025-06-23,A321
SCO4913,VVBM,VVTS,11:39,2025-06-23,A330
SCO9261,VVTS,VVCA,11:18,2025-06-23,A330
CPA7363,VVTS,ZGGG,11:50,2025-06-23,A380
THA229,VIDP,VVTS,11:01,2025-06-23,A380
PAL854,VVTS,RPLL,11:15,2025-06-23,A321
AXM5793,VVCA,VVTS,11:02,2025-06-23,B737
PIC5274,ZGGG,VVTS,11:30,2025-06-23,B777
KAL3927,VVTS,VMMC,11:55,2025-06-23,A321
KAL1130,VLPL,VVTS,11:05,2025-06-23,A350
SIA7458,VVTS,RKSI,11:12,2025-06-23,B777
CSN2224,ZGGG,VVTS,11:37,2025-06-23,A350
CAL2123,VVTS,VHHH,11:28,2025-06-23,B777
HVN6959,VVPB,VVTS,11:12,2025-06-23,A380
UAE5575,KJFK,VVTS,11:15,2025-06-23,A330
BAW3710,VLPL,VVTS,12:42,2025-06-23,A350
DAL4845,VIDP,VVTS,12:25,2025-06-23,B777
VJC5726,VVTS,OMDB,12:32,2025-06-23,A320
PIC3917,RCTP,VVTS,12:44,2025-06-23,A320
HVN8645,VVTH,VVTS,12:14,2025-06-23,B737
KAL630,VVNB,VVTS,12:45,2025-06-23,B787
PIC3243,VVTS,ZGGG,12:32,2025-06-23,A380
PAL5422,VVTS,VVDN,12:12,2025-06-23,B777
VJC4521,VVTS,RPLL,12:12,2025-06-23,B737
VJC9753,VVPC,VVTS,12:29,2025-06-23,B787
VJC9375,VVTS,VVDN,12:55,2025-06-23,B787
THD9288,RCTP,VVTS,12:31,2025-06-23,A350
PAL9997,VVPF,VVTS,12:40,2025-06-23,A380
CAL6622,VVTS,VVPK,12:30,2025-06-23,A330
VJC8946,VVTS,VVGL,12:41,2025-06-23,A320
AIC3960,VVDN,VVTS,12:38,2025-06-23,A380
CES8890,VHHH,VVTS,12:14,2025-06-23,B787
BAV3094,VVTS,VLPL,12:20,2025-06-23,B787
ANA2736,VVPB,VVTS,12:05,2025-06-23,A321
PIC1693,VVTS,VVCT,12:02,2025-06-23,B737
AXM7191,VMMC,VVTS,12:25,2025-06-23,A321
CSN4599,VVTS,VVBM,12:36,2025-06-23,A330
CPA8530,OMDB,VVTS,12:24,2025-06-23,A321
PAL2171,VVTS,VVPB,12:43,2025-06-23,A321
BAW1209,VVTS,WMKK,12:07,2025-06-23,A380
AXM986,VVTS,VVDL,12:41,2025-06-23,A320
CPA5726,VVTS,VVPK,12:24,2025-06-23,A330
THD8235,ZGGG,VVTS,12:17,2025-06-23,B777
THA1232,VVTH,VVTS,12:19,2025-06-23,A380
CSN6953,ZGGG,VVTS,12:40,2025-06-23,B787
BAW6810,VIDP,VVTS,12:32,2025-06-23,A321
SIA6963,OMDB,VVTS,12:03,2025-06-23,B737
SIA7140,VVPF,VVTS,13:14,2025-06-23,A330
THD1440,VMMC,VVTS,13:55,2025-06-23,B787
SIA7950,RCTP,VVTS,13:11,2025-06-23,B777
HVN857,VVTS,WSSS,13:27,2025-06-23,B737
CPA1425,VVPK,VVTS,13:37,2025-06-23,A321
CES2732,VVTH,VVTS,13:05,2025-06-23,A330
PAL2136,VVTS,VVDN,13:29,2025-06-23,B737
CAL8955,WSSS,VVTS,13:35,2025-06-23,B737
DAL7881,VVTS,VVPC,13:53,2025-06-23,B737
DAL573,VVTS,VVCS,13:04,2025-06-23,A380
BAV2642,VLPL,VVTS,13:30,2025-06-23,A321
CPA9282,VVTS,VVPB,13:59,2025-06-23,A350
CES3450,RCTP,VVTS,13:57,2025-06-23,B777
KAL3738,VVTS,VVDN,13:12,2025-06-23,B777
PAL9151,VVTH,VVTS,13:17,2025-06-23,B737
CPA6135,VVPF,VVTS,13:07,2025-06-23,A380
AIC6811,VVPB,VVTS,13:02,2025-06-23,A321
AIC7173,VVDL,VVTS,13:18,2025-06-23,B737
PIC2474,OMDB,VVTS,13:18,2025-06-23,A321
THA7876,RKSI,VVTS,13:12,2025-06-23,B787
PAL3933,VVTS,WSSS,13:13,2025-06-23,A350
ANA7210,WSSS,VVTS,13:12,2025-06-23,A350
DAL1054,VVTS,VVBM,13:05,2025-06-23,B787
SIA5884,VVTS,VVPF,13:41,2025-06-23,B777
CES7560,RKSI,VVTS,13:16,2025-06-23,A380
CES7302,RPLL,VVTS,13:56,2025-06-23,B787
ANA2277,VVTS,EGLL,13:23,2025-06-23,B777
PAL1341,VVTS,VVTH,13:13,2025-06-23,B777
UAE3078,VVDL,VVTS,13:44,2025-06-23,B777
SCO7199,RCTP,VVTS,13:00,2025-06-23,A321
CPA7651,VVTS,VMMC,13:11,2025-06-23,A350
SIA125,VHHH,VVTS,13:30,2025-06-23,B777
CSN3703,VVPC,VVTS,13:49,2025-06-23,A320
BAV1276,VVCI,VVTS,13:05,2025-06-23,A320
KAL4269,VVTS,VVDN,13:19,2025-06-23,B737
KAL7698,VVPK,VVTS,13:36,2025-06-23,B787
THA3216,ZGGG,VVTS,13:17,2025-06-23,A320
AXM3435,VVPC,VVTS,13:57,2025-06-23,A350
SIA2812,WSSS,VVTS,13:16,2025-06-23,B737
PAL8817,VVTS,VVCI,13:32,2025-06-23,A380
SCO571,VVTH,VVTS,13:47,2025-06-23,A320
VJC6904,VVTS,KJFK,13:00,2025-06-23,A330
SCO4420,RPLL,VVTS,13:44,2025-06-23,A330
ANA8258,VVTH,VVTS,13:13,2025-06-23,A320
THA4441,VVCS,VVTS,13:48,2025-06-23,A330
AIC9357,VVKR,VVTS,13:06,2025-06-23,A320
THD4421,VVDN,VVTS,14:16,2025-06-23,A330
CAL6490,RCTP,VVTS,14:57,2025-06-23,A320
SCO7900,VVTS,RKSI,14:08,2025-06-23,A320
UAE6922,VVTS,VVDN,14:59,2025-06-23,B737
VJC6785,VVDN,VVTS,14:57,2025-06-23,B787
HVN7336,VVCT,VVTS,14:50,2025-06-23,B787
UAE7963,VVTS,VVDN,14:24,2025-06-23,A321
SIA163,VVTS,RCTP,14:43,2025-06-23,A330
THD6985,OMDB,VVTS,14:45,2025-06-23,A330
HVN7985,VVKR,VVTS,14:52,2025-06-23,A321
SCO5927,VVDL,VVTS,14:04,2025-06-23,B737
SIA4830,VIDP,VVTS,14:10,2025-06-23,B787
THD7198,VVTS,VVCT,14:54,2025-06-23,A330
BAV2940,VVTS,VVKR,14:16,2025-06-23,B787
THA429,ZGGG,VVTS,14:53,2025-06-23,B787
AXM9909,VVTS,VVNB,14:37,2025-06-23,B777
CPA1800,EGLL,VVTS,14:28,2025-06-23,B787
CAL2540,VVPF,VVTS,14:56,2025-06-23,A321
ANA4864,VTBS,VVTS,14:27,2025-06-23,A321
THD5405,ZSPD,VVTS,14:02,2025-06-23,A321
ANA5211,VVPF,VVTS,14:54,2025-06-23,B737
AIC5228,VVTS,VVCI,14:17,2025-06-23,B777
CPA9784,RCTP,VVTS,14:31,2025-06-23,B787
THD7882,VVTS,VVCA,14:37,2025-06-23,B777
SCO6632,VVTS,VVCT,14:03,2025-06-23,A380
VJC8769,VVNB,VVTS,14:22,2025-06-23,B777
CES5282,VVCA,VVTS,14:43,2025-06-23,A330
ANA6500,VVTS,VHHH,14:48,2025-06-23,A320
DAL8842,VVTS,VVPK,14:39,2025-06-23,A321
PIC3924,VVNB,VVTS,14:24,2025-06-23,A330
THA600,VVTS,VVCI,14:37,2025-06-23,B787
UAE554,VLPL,VVTS,14:03,2025-06-23,A330
ANA2384,ZSPD,VVTS,14:55,2025-06-23,A320
PAL5368,RCTP,VVTS,14:01,2025-06-23,A350
CSN7968,KJFK,VVTS,14:33,2025-06-23,A320
BAV5658,VVGL,VVTS,14:41,2025-06-23,B777
PIC1300,VVTS,WSSS,14:42,2025-06-23,A321
ANA8422,VVDN,VVTS,14:32,2025-06-23,B787
BAW2535,VVCA,VVTS,14:55,2025-06-23,A350
SIA5826,VVTS,VMMC,14:54,2025-06-23,A380
VJC3468,EGLL,VVTS,14:57,2025-06-23,A380
ANA5699,VVTS,ZGGG,14:06,2025-06-23,A380
CAL7311,VVTS,VVBM,15:53,2025-06-23,A320
CPA8896,VVTS,VIDP,15:07,2025-06-23,A380
ANA6628,VVPC,VVTS,15:09,2025-06-23,A321
